,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
262,286.0,9.700770913653453e-07,Valeriana,Industrial_or_commercial_units,,120,0.0,0.6792149093572518
263,287.0,1.0239435192983217e-06,Galium,sinD,142,,1.0,0.7169303458844674
264,287.5,9.55165450166475e-07,Senecio,Y,143,,0.0,0.6687742865290152
265,288.0,9.225229065419937e-07,Iris,Temperature,144,,1.0,0.6459190902704508
266,289.0,9.761268181784916e-07,Chelidonium,Industrial_or_commercial_units,,121,0.0,0.6834507218360766
267,290.5,9.70166362930397e-07,Brassica,Mixed_forest,,122,1.0,0.6792774142638254
268,291.0,9.011681629905096e-07,Aquilegia,Temperature,145,,1.0,0.6309672268208623
269,291.5,9.615974252039407e-07,Taraxacum,Industrial_or_commercial_units,,123,0.0,0.6732777361836313
270,292.5,-9.389874204323708e-07,Centaurea,Y,146,,0.0,-0.6574469816197085
271,296.0,-9.478164787835981e-07,Malus,Transitional_woodland-shrub,,124,0.0,-0.6636287872938312
272,296.0,1.0223255421365898e-06,Lotus,sinD,147,,1.0,0.7157974934328122
273,296.5,9.266544957299878e-07,Taraxacum,Temperature,148,,1.0,0.648811888173631
274,298.0,8.98957361884463e-07,Nerium,Y,149,,0.0,0.6294192992528204
275,299.0,9.144669446289821e-07,Medicago,Temperature,150,,1.0,0.6402785803674385
276,299.5,-2.6688588167225073e-07,Cistus,Cistus,151,,0.3333333333333333,-0.18686439618279574
277,300.0,9.264400052957846e-07,Vicia,Vicia,152,,0.0,0.6486617092836005
278,300.5,-9.135656767248303e-07,Ligustrum,sinD,153,,1.0,-0.6396475433052566
279,300.5,9.299614540004485e-07,Echium,Industrial_or_commercial_units,,125,0.0,0.6511273076200977
280,301.0,9.019885434903339e-07,Echium,Temperature,154,,1.0,0.631541629279993
281,301.0,9.581363794660025e-07,Valeriana,Temperature,155,,1.0,0.6708544299452928
282,305.5,9.314207742785992e-07,Buddleja,sinD,156,,1.0,0.652149073930497
283,306.0,6.769616521410928e-07,Phyteuma,Road_and_rail_networks_and_associated_land,,126,0.9666666666666667,0.47398547114456024
